"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","org.openrewrite.java.dependencies.ChangeDependency","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","org.openrewrite.maven.ChangeDependencyScope","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","org.openrewrite.java.migrate.jakarta.UpdateJakartaXmlWsEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","org.openrewrite.java.ChangePackage","300","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","300","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"src\main\java\com\example\demo2\config\SoapServiceConfig.java","src\main\java\com\example\demo2\config\SoapServiceConfig.java","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","org.openrewrite.java.ChangePackage","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapService.java","src\main\java\com\example\demo2\soap\SampleSoapService.java","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","org.openrewrite.java.ChangePackage","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","org.openrewrite.java.migrate.jakarta.JakartaEE10","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","src\main\java\com\example\demo2\soap\SampleSoapServiceImpl.java","","org.openrewrite.java.migrate.jakarta.JakartaEE10","300","1"
"src\main\java\com\example\demo2\soap\SoapClient.java","src\main\java\com\example\demo2\soap\SoapClient.java","org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs","org.openrewrite.java.ChangePackage","300","1"
